rank,name,score
1,Sverigedemokraterna,142
2,Familjen Lundell,136
3,SVT,134
4,TV4,113
5,Aftonbladet,110
6,Sveriges Radio,107
7,Expressen,105
8,Polisen,105
9,Socialdemokraterna,104
10,Moderaterna,101
11,Mauri Hermundsson,97
12,JLC,96
13,Riks,90
14,IJustWantToBeCool,86
15,Emil Hansius,83
16,Försvarsmakten,82
17,Henrik Jönsson,80
18,Vänsterpartiet,74
19,Newsner (Ny),74
20,Fredrik Andersson,70
21,konstiga bloggen,66
22,RandomMakingMovies,64
23,Kristdemokraterna,63
24,Johanna Berg,63
25,Max tidigare discovery,63
26,Sampev2 (Ny),62
27,Bianca Ingrosso,60
28,ICA,59
29,Sveriges Roligaste Videor,59
30,Diyari,59
31,Jonas Fagerström,58
32,Nicks Burek Report,58
33,Jesper Nordberg,58
34,Wonderboi,58
35,Winsent Thunholm Wikman,57
36,Anis Don Demina,57
37,Sam Pettersson,56
38,Miljöpartiet de gröna,56
39,Ben Mitkus,55
40,Ribecka,54
41,Viktor Klemming,54
42,Centerpartiet,54
43,Taib Šišić,54
44,The Swedish Family,54
45,Djurgårdens IF,54
46,Ikenna Abika,54
47,KAJ,53
48,Matgeek,53
49,Viaplay,52
50,Svenska Fotbollförbundet,51
51,Sport touchen,51
52,Perik,50
53,Åsa Jonsson,50
54,Helen Torsgården,50
55,Margareta Grääs,49
56,Malin Edengård,48
57,Dagens Nyheter Ny,48
58,Lilla Al-Fadji,48
59,Christian Peterson,48
60,Tim Liljegren,48
61,Camilla Hamid,48
62,The official Foxy Mama,48
63,Pia Mattsson,47
64,IFK Göteborg,47
65,Hermanos,46
66,Simon Thunberg,46
67,SHL,46
68,Mirabell Lundgren,46
69,Yumi,46
70,Oscaronisse,46
71,Christofer Lundström,43
72,Team Odiffat,46
73,Tan By Klara,46
74,Isak Nyqvist,46
75,Liberalerna,45
76,Örebropartiet,45
77,Göteborgs-Posten,45
78,Lisa Borg,44
79,MackansKost,44
80,Johannes Cullberg,44
81,RIX FM,44
82,Goilarn,43
83,Moa Lindgren,43
84,Simon Kafi,43
85,Lovisa Karlsson,43
86,Fotboll24,43
87,Björkarpsgården,43
88,Fabian Svorono,43
89,Christofer Berg,43
90,Benjamin Ingrosso,42
91,Alternativ för Sverige,42
92,Johanna Ottosson,42
93,Gordon Dewoon,42
94,AIK,41
95,Amalia Braunsthal,41
96,Brynäs IF,41
97,Sanny Thai,40
98,Frölunda HC,40
99,Dobb TV,40
100,NRJ,40
101,Newly,40
102,Prime Video,40
103,Matkoma,40
104,HANNA HAPPY,40
105,Marcus Dubois,40
106,Magnus Uggla,40
107,Luleå Hockey,39
108,Ronny och Ragge,39
109,Tomu,39
110,Medborgerlig Samling,39
111,Filip Poon,39
112,Lets Feast,39
113,Freudian Slip Productions,39
114,Emelie Johansson,39
115,LINNEA & VIOLA,39
116,Leif Mannerström,38
117,Hampus Hedström,38
118,Vivi Wallin,38
119,Vid Din Sida,38
120,Maurice Hill,38
121,Hermanoerkano M.O DD,38
122,Zeinas Kitchen,38
123,Småstadsliv,38
124,Keebabb,38
125,Miriam Bryant,38
126,Pontus Johansson,37
127,Jan Emanuel,37
128,CLUEENEWS,37
129,Ekotipset,37
130,Manfred Erlandsson,37
131,Pernilla Wahlgren,37
132,Albin Olsson,37
133,UR,37
134,LaxTon Ghost Sweden,37
135,Darin,37
136,Filip Ivanović Håkansson,36
137,Håkan Hellström,36
138,Familjen Reinhold,36
139,HV71,36
140,Färjestad BK,36
141,Paolo Roberto,36
142,Kapten Mat,36
143,Antonija Mandir,36
144,Emelie Nilsson,36
145,Lena Philipsson,36
146,Carl Fredrik Alexander Rask,36
147,Insikt24,36
148,Kevin Bang,36
149,Asme (musik),36
150,Dumpen.se,36
151,Hov1,36
152,Matinbum,35
153,Anton Ekefäll,35
154,Nyheter24,35
155,Argabibliotekstanten,35
156,Beatrice Reiman,35
157,August Mether,35
158,Kattjouren,35
159,Joen Benediktusson,35
160,Annie Erfass,35
161,Alice Stenlöf,35
162,Svenska kyrkan,35
163,Aron Flam,35
164,Hundstallet,35
165,Molly Sandén,35
166,Therése Lindgren,34
167,Kammi Rosenskjold,34
168,Rickard Söderberg,34
169,Edward Blom,34
170,Victor De Almeida,34
171,Eliott Malhotra,34
172,Felicia Aveklew,34
173,Naprapatjonas,34
174,Laila Högfeldt,34
175,Claesson På Taket,34
176,Levi Zion,34
177,Astrid Lindgren,34
178,Gårdsjö Älgpark,34
179,Naturskyddsföreningen,34
180,Life of SWK,34
181,Viktor Berglund,33
182,Felicia Bergström,33
183,Kungahuset,33
184,Daniel Norlin,33
185,Misslisibell,33
186,Fanny & Patrik,33
187,Oliver Kastell,33
188,Magnus Betnér,33
189,Carola Häggkvist,33
190,Isa Östling,33
191,Josefin Ottosson,33
192,Netflix,33
193,Amanda Lundgren,33
194,Emil Henrohn,33
195,Elsa Laila,33
196,Frida Skattberg,33
197,Dormy Golf,33
198,Skattebetalarnas Förening,33
199,Filippa Toremo,33
200,Nina Hermansen,33
