food,foodLabel,sitelinks
http://www.wikidata.org/entity/Q254979,kanelbulle,49
http://www.wikidata.org/entity/Q778396,surströmming,42
http://www.wikidata.org/entity/Q1853883,ostkaka,22
http://www.wikidata.org/entity/Q595744,chokladboll,21
http://www.wikidata.org/entity/Q1539635,blåbärssoppa,15
http://www.wikidata.org/entity/Q3353942,julskinka,15
http://www.wikidata.org/entity/Q3505757,renskav,13
http://www.wikidata.org/entity/Q5479684,polkagris,13
http://www.wikidata.org/entity/Q6981917,pölsa,12
http://www.wikidata.org/entity/Q6502741,pitepalt,10
http://www.wikidata.org/entity/Q10659978,saffranspannkaka,6
http://www.wikidata.org/entity/Q10725547,äggakaka,5
http://www.wikidata.org/entity/Q10698992,Tjälknöl,5
http://www.wikidata.org/entity/Q60429771,hackad gurka,4
http://www.wikidata.org/entity/Q10710162,Upplandskubb,4
http://www.wikidata.org/entity/Q10727322,Ölsupa,3
http://www.wikidata.org/entity/Q10497217,fläskkorv,3
http://www.wikidata.org/entity/Q17104616,Q17104616,3
http://www.wikidata.org/entity/Q10437650,Bullens pilsnerkorv,3
http://www.wikidata.org/entity/Q124737619,krabbelurer,2
http://www.wikidata.org/entity/Q78210944,Västerbottenpaj,2
http://www.wikidata.org/entity/Q10725554,äggost,2
http://www.wikidata.org/entity/Q10429442,Biff Rydberg,2
http://www.wikidata.org/entity/Q5304700,Q5304700,2
http://www.wikidata.org/entity/Q7666293,Söderblandning,2
http://www.wikidata.org/entity/Q11996674,Q11996674,2
http://www.wikidata.org/entity/Q10600727,Nikkaluoktasoppa,1
http://www.wikidata.org/entity/Q10591747,mylta,1
http://www.wikidata.org/entity/Q109189164,Silltårta,1
http://www.wikidata.org/entity/Q104066676,Leverstuvning,1
http://www.wikidata.org/entity/Q10659108,rörost,1
http://www.wikidata.org/entity/Q10547054,kolbotten,1
http://www.wikidata.org/entity/Q10509650,Grytbit,1
http://www.wikidata.org/entity/Q105411167,Vålåloffen,1
http://www.wikidata.org/entity/Q10424492,Baddare,1
http://www.wikidata.org/entity/Q131440796,Onsalakorv,1
http://www.wikidata.org/entity/Q10546944,Koggost,1
http://www.wikidata.org/entity/Q16928375,Q16928375,1
http://www.wikidata.org/entity/Q123023254,Q123023254,1
http://www.wikidata.org/entity/Q50914259,barkis,1
http://www.wikidata.org/entity/Q10546582,Knake,1
http://www.wikidata.org/entity/Q132156532,ärter med fläsk,0
http://www.wikidata.org/entity/Q121295961,kams,0
